Read,symbol,Date1,Date2
YES,NSE,2012-10-01,2012-08-22
NO,TCS.NS,2012-09-28,2012-08-21
YES,ABB.NS,2012-09-27,2012-08-17
YES,ACC.NS,2012-09-26,2012-08-16
