EVENT DATE,STOCK,SIGNAL,EVENT DATE PRICE,HIGH/LOW PRICE,HIGH/LOW DATE,% CHANGE,ANALYSIS RANGE
2013-01-30,ABIRLANUV.NS,52wk+++,1163.0,1170.35,2013-01-22,-0.628017259794,2012-02-01 - 2013-01-30
2013-01-30,ADANIPORT.NS,52wk++,142.65,145.8,2013-01-29,-2.16049382716,2012-02-01 - 2013-01-30
2013-01-30,ASIANPAIN.NS,52wk+++,4473.75,4473.75,2013-01-30,0.0,2012-02-01 - 2013-01-30
2013-01-30,AXISBANK.NS,52wk+++,1501.25,1501.25,2013-01-30,0.0,2012-02-01 - 2013-01-30
2013-01-30,BAJAJHLDN.NS,52wk+,968.25,1036.35,2013-01-03,-6.57113909394,2012-02-01 - 2013-01-30
2013-01-30,BANKBAROD.NS,52wk+,832.3,889.55,2013-01-03,-6.43583834523,2012-02-01 - 2013-01-30
2013-01-30,BHARATFOR.NS,52wk---,233.5,232.4,2013-01-24,0.473321858864,2012-02-01 - 2013-01-30
2013-01-30,BOSCHLTD.NS,52wk++,9076.6,9516.7,2012-12-31,-4.62450219089,2012-02-01 - 2013-01-30
2013-01-30,CIPLA.NS,52wk+,407.75,429.5,2013-01-08,-5.06402793946,2012-02-01 - 2013-01-30
2013-01-30,CROMPGREA.NS,52wk---,106.85,105.2,2012-05-25,1.56844106464,2012-02-01 - 2013-01-30
2013-01-30,DABUR.NS,52wk++,129.9,135.3,2012-10-12,-3.9911308204,2012-02-01 - 2013-01-30
2013-01-30,DLF.NS,52wk+++,271.65,271.65,2013-01-30,0.0,2012-02-01 - 2013-01-30
2013-01-30,DRREDDY.NS,52wk+++,1932.7,1945.15,2013-01-25,-0.640053466314,2012-02-01 - 2013-01-30
2013-01-30,EXIDEIND.NS,52wk-,122.2,115.17,2012-06-01,6.10402014413,2012-02-01 - 2013-01-30
2013-01-30,FEDERALBN.NS,52wk+,509.1,543.25,2013-01-02,-6.28624022089,2012-02-01 - 2013-01-30
2013-01-30,GODREJCP.NS,52wk++,721.15,749.7,2012-12-26,-3.80818994264,2012-02-01 - 2013-01-30
2013-01-30,GSKCONS.NS,52wk++,3707.2,3868.6,2013-01-10,-4.17205190508,2012-02-01 - 2013-01-30
2013-01-30,HCLTECH.NS,52wk++,689.0,715.2,2013-01-21,-3.66331096197,2012-02-01 - 2013-01-30
2013-01-30,HDFCBANK.NS,52wk+,656.65,703.95,2012-11-30,-6.71922721784,2012-02-01 - 2013-01-30
2013-01-30,HEROMOTOC.NS,52wk---,1796.1,1762.55,2013-01-22,1.90349209951,2012-02-01 - 2013-01-30
2013-01-30,ICICIBANK.NS,52wk+++,1212.7,1212.7,2013-01-30,0.0,2012-02-01 - 2013-01-30
2013-01-30,INDUSINDB.NS,52wk+++,434.85,441.9,2013-01-15,-1.59538357094,2012-02-01 - 2013-01-30
2013-01-30,INFY.NS,52wk++,2790.65,2906.08,2012-02-22,-3.97201728789,2012-02-01 - 2013-01-30
2013-01-30,ITC.NS,52wk+++,304.2,305.95,2012-12-12,-0.571988887073,2012-02-01 - 2013-01-30
2013-01-30,JSWSTEEL.NS,52wk++,849.65,870.7,2013-01-28,-2.41759503847,2012-02-01 - 2013-01-30
2013-01-30,KOTAKBANK.NS,52wk+++,678.8,678.8,2013-01-30,0.0,2012-02-01 - 2013-01-30
2013-01-30,LICHSGFIN.NS,52wk++,285.05,297.25,2013-01-01,-4.10428931876,2012-02-01 - 2013-01-30
2013-01-30,LUPIN.NS,52wk++,599.3,626.95,2012-09-10,-4.41024005104,2012-02-01 - 2013-01-30
2013-01-30,MARUTI.NS,52wk+++,1601.9,1608.15,2013-01-28,-0.388645337811,2012-02-01 - 2013-01-30
2013-01-30,NSE100,52wk+++,5961.45,6005.1,2013-01-21,-0.726882150172,2012-02-01 - 2013-01-30
2013-01-30,OFSS.NS,52wk+,3172.35,3373.8,2013-01-08,-5.97101191535,2012-02-01 - 2013-01-30
2013-01-30,ONGC.NS,52wk+++,338.5,341.1,2013-01-25,-0.762239812372,2012-02-01 - 2013-01-30
2013-01-30,PFC.NS,52wk+,206.6,221.42,2012-02-17,-6.69316231596,2012-02-01 - 2013-01-30
2013-01-30,RELCAPITA.NS,52wk+,470.75,501.75,2013-01-04,-6.1783756851,2012-02-01 - 2013-01-30
2013-01-30,RELIANCE.NS,52wk++,899.4,923.05,2013-01-23,-2.56215806294,2012-02-01 - 2013-01-30
2013-01-30,SBIN.NS,52wk++,2436.1,2539.1,2013-01-10,-4.05655547241,2012-02-01 - 2013-01-30
2013-01-30,SIEMENS.NS,52wk---,645.15,637.25,2013-01-24,1.23970184386,2012-02-01 - 2013-01-30
2013-01-30,SRTRANSFI.NS,52wk++,772.7,798.7,2013-01-15,-3.255289846,2012-02-01 - 2013-01-30
2013-01-30,TATACHEM.NS,52wk++,360.2,375.9,2013-01-08,-4.17664272413,2012-02-01 - 2013-01-30
2013-01-30,TCS.NS,52wk++,1346.15,1411.24,2012-09-13,-4.61225588844,2012-02-01 - 2013-01-30
2013-01-30,TECHM.NS,52wk+++,1011.0,1025.55,2012-10-01,-1.41875091414,2012-02-01 - 2013-01-30
2013-01-30,WIPRO.NS,52wk+,414.85,442.62,2012-02-10,-6.27400478966,2012-02-01 - 2013-01-30
2013-01-30,YESBANK.NS,52wk+++,520.0,527.95,2013-01-15,-1.50582441519,2012-02-01 - 2013-01-30
2013-01-30,ZEEL.NS,52wk+,219.8,234.65,2013-01-23,-6.32857447262,2012-02-01 - 2013-01-30
