,NSE,ABB.NS,ACC.NS
2012-07-27 16:00:00,,,
2012-07-30 16:00:00,,,
2012-07-31 16:00:00,,,
2012-08-01 16:00:00,,,
2012-08-02 16:00:00,,,
2012-08-03 16:00:00,,,
2012-08-06 16:00:00,,,
2012-08-07 16:00:00,,,
2012-08-08 16:00:00,,,
2012-08-09 16:00:00,,,
2012-08-10 16:00:00,,,
2012-08-13 16:00:00,,,
2012-08-14 16:00:00,,,
2012-08-16 16:00:00,,,1.0
2012-08-17 16:00:00,1.0,1.0,
2012-08-21 16:00:00,,,
2012-08-22 16:00:00,,,
2012-08-23 16:00:00,,,
2012-08-24 16:00:00,,,
2012-08-27 16:00:00,,,
2012-08-28 16:00:00,,,
2012-08-29 16:00:00,,,
2012-08-30 16:00:00,,,
2012-08-31 16:00:00,,,
2012-09-03 16:00:00,,,
2012-09-04 16:00:00,,,
2012-09-05 16:00:00,,,
2012-09-06 16:00:00,,,
2012-09-07 16:00:00,,,
2012-09-10 16:00:00,,,
2012-09-11 16:00:00,,,
2012-09-12 16:00:00,,,
2012-09-13 16:00:00,,,
2012-09-14 16:00:00,,,
2012-09-17 16:00:00,,,
2012-09-18 16:00:00,,,
2012-09-20 16:00:00,,,
2012-09-21 16:00:00,,,
2012-09-24 16:00:00,,,
2012-09-25 16:00:00,,,
2012-09-26 16:00:00,,,1.0
2012-09-27 16:00:00,1.0,1.0,
2012-09-28 16:00:00,,,
2012-10-01 16:00:00,,,
2012-10-03 16:00:00,,,
2012-10-04 16:00:00,,,
2012-10-05 16:00:00,,,
2012-10-08 16:00:00,,,
2012-10-09 16:00:00,,,
2012-10-10 16:00:00,,,
2012-10-11 16:00:00,,,
2012-10-12 16:00:00,,,
2012-10-15 16:00:00,,,
2012-10-16 16:00:00,,,
2012-10-17 16:00:00,,,
2012-10-18 16:00:00,,,
2012-10-19 16:00:00,,,
2012-10-22 16:00:00,,,
2012-10-23 16:00:00,,,
2012-10-25 16:00:00,,,
2012-10-26 16:00:00,,,
2012-10-29 16:00:00,,,
2012-10-30 16:00:00,,,
2012-10-31 16:00:00,,,
2012-11-01 16:00:00,,,
2012-11-02 16:00:00,,,
2012-11-05 16:00:00,,,
2012-11-06 16:00:00,,,
2012-11-07 16:00:00,,,
2012-11-08 16:00:00,,,
2012-11-09 16:00:00,,,
2012-11-12 16:00:00,,,
2012-11-13 16:00:00,,,
2012-11-15 16:00:00,,,
2012-11-16 16:00:00,,,
2012-11-19 16:00:00,,,
2012-11-20 16:00:00,,,
2012-11-21 16:00:00,,,
2012-11-22 16:00:00,,,
2012-11-23 16:00:00,,,
2012-11-26 16:00:00,,,
2012-11-27 16:00:00,,,
2012-11-29 16:00:00,,,
2012-11-30 16:00:00,,,
2012-12-03 16:00:00,,,
2012-12-04 16:00:00,,,
2012-12-05 16:00:00,,,
2012-12-06 16:00:00,,,
2012-12-07 16:00:00,,,
2012-12-10 16:00:00,,,
2012-12-11 16:00:00,,,
2012-12-12 16:00:00,,,
2012-12-13 16:00:00,,,
2012-12-14 16:00:00,,,
2012-12-17 16:00:00,,,
2012-12-18 16:00:00,,,
2012-12-19 16:00:00,,,
2012-12-20 16:00:00,,,
