EVENT DATE,STOCK,SIGNAL,EVENT DATE PRICE,HIGH/LOW PRICE,HIGH/LOW DATE,% CHANGE,ANALYSIS RANGE
2013-01-30,ABIRLANUV.NS,52wk++,1163.0,1190.65,2013-01-23,-2.3222609499,2012-02-01 - 2013-01-30
2013-01-30,ASIANPAIN.NS,52wk+++,4473.75,4497.5,2012-12-20,-0.528071150639,2012-02-01 - 2013-01-30
2013-01-30,AXISBANK.NS,52wk+++,1501.25,1516.05,2013-01-30,-0.976221100887,2012-02-01 - 2013-01-30
2013-01-30,BHARATFOR.NS,52wk--,233.5,227.0,2013-01-25,2.86343612335,2012-02-01 - 2013-01-30
2013-01-30,BOSCHLTD.NS,52wk+,9076.6,9620.0,2013-01-08,-5.64864864865,2012-02-01 - 2013-01-30
2013-01-30,CIPLA.NS,52wk+,407.75,435.0,2013-01-09,-6.26436781609,2012-02-01 - 2013-01-30
2013-01-30,DABUR.NS,52wk+,129.9,138.9,2012-10-16,-6.47948164147,2012-02-01 - 2013-01-30
2013-01-30,DLF.NS,52wk+++,271.65,274.9,2013-01-30,-1.18224809021,2012-02-01 - 2013-01-30
2013-01-30,DRREDDY.NS,52wk+++,1932.7,1970.0,2013-01-25,-1.89340101523,2012-02-01 - 2013-01-30
2013-01-30,HCLTECH.NS,52wk++,689.0,721.3,2013-01-17,-4.47802578677,2012-02-01 - 2013-01-30
2013-01-30,HDFCBANK.NS,52wk+,656.65,705.5,2012-11-30,-6.92416725726,2012-02-01 - 2013-01-30
2013-01-30,ICICIBANK.NS,52wk+++,1212.7,1228.0,2013-01-29,-1.24592833876,2012-02-01 - 2013-01-30
2013-01-30,INDUSINDB.NS,52wk++,434.85,444.9,2013-01-10,-2.25893459204,2012-02-01 - 2013-01-30
2013-01-30,INFY.NS,52wk+,2790.65,2994.0,2012-02-22,-6.79191716767,2012-02-01 - 2013-01-30
2013-01-30,ITC.NS,52wk+++,304.2,306.95,2013-01-30,-0.895911386219,2012-02-01 - 2013-01-30
2013-01-30,KOTAKBANK.NS,52wk+++,678.8,684.8,2013-01-30,-0.876168224299,2012-02-01 - 2013-01-30
2013-01-30,LICHSGFIN.NS,52wk+,285.05,300.25,2013-01-02,-5.06244796003,2012-02-01 - 2013-01-30
2013-01-30,LUPIN.NS,52wk+,599.3,631.95,2012-09-10,-5.16654798639,2012-02-01 - 2013-01-30
2013-01-30,MARUTI.NS,52wk+++,1601.9,1633.9,2013-01-28,-1.95850419242,2012-02-01 - 2013-01-30
2013-01-30,NSE100,52wk+++,5961.45,6025.05,2013-01-22,-1.05559289964,2012-02-01 - 2013-01-30
2013-01-30,ONGC.NS,52wk++,338.5,355.0,2013-01-18,-4.64788732394,2012-02-01 - 2013-01-30
2013-01-30,RELIANCE.NS,52wk+,899.4,955.0,2013-01-21,-5.8219895288,2012-02-01 - 2013-01-30
2013-01-30,SBIN.NS,52wk++,2436.1,2551.7,2013-01-10,-4.53031312458,2012-02-01 - 2013-01-30
2013-01-30,SIEMENS.NS,52wk--,645.15,629.95,2012-06-04,2.4128899119,2012-02-01 - 2013-01-30
2013-01-30,SRTRANSFI.NS,52wk++,772.7,805.05,2013-01-16,-4.01838395131,2012-02-01 - 2013-01-30
2013-01-30,TATACHEM.NS,52wk+,360.2,381.5,2013-01-09,-5.58322411533,2012-02-01 - 2013-01-30
2013-01-30,TCS.NS,52wk+,1346.15,1439.8,2012-09-14,-6.50437560772,2012-02-01 - 2013-01-30
2013-01-30,TECHM.NS,52wk++,1011.0,1042.95,2012-10-01,-3.06342585934,2012-02-01 - 2013-01-30
2013-01-30,YESBANK.NS,52wk++,520.0,545.0,2013-01-16,-4.5871559633,2012-02-01 - 2013-01-30
